"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Dyami Brown","WAS","WR123","2.0","14.4","0.0","13.1","214.1","1.6","0.0","46.0"
"Craig Reynolds","DET","RB78","31.6","142.6","1.0","14.1","91.2","0.4","0.1","45.8"
"Demarcus Robinson","LAR","WR124","0.0","0.2","0.0","19.4","202.5","0.9","0.1","45.0"
"Zach Evans","LAR","RB79","50.2","196.7","1.2","8.9","76.9","0.4","0.5","44.7"
"Mo Alie-Cox","IND","TE51","0.0","0.5","0.0","16.6","195.9","1.5","0.4","44.7"
"Marquise Goodwin","CLE","WR125","1.5","7.9","0.0","14.9","206.3","1.3","0.0","44.4"
"Isaiah Spiller","LAC","RB80","59.2","232.7","1.1","7.9","58.9","0.2","0.2","44.3"
"David Wells","TB","TE52","0.0","3.4","0.0","21.6","152.9","1.0","0.1","43.6"
"Zamir White","LV","RB81","59.2","228.0","1.7","6.5","31.0","0.2","0.2","43.3"
"Michael Carter","NYJ","RB82","37.2","141.6","0.6","12.6","102.2","0.4","0.2","42.7"
"Jaleel McLaughlin","DEN","RB83","39.3","173.9","1.3","10.4","56.5","0.3","0.2","42.5"
"Raheem Blackshear","CAR","RB84","31.6","119.7","1.3","12.9","88.3","0.3","0.4","42.5"
"Chris Moore","TEN","WR126","0.2","2.4","0.0","17.5","195.5","0.9","0.0","42.4"
"Josiah Deguara","GB","TE53","0.0","1.0","0.0","18.8","174.4","1.0","0.0","42.2"
"Jordan Akins","CLE","TE54","0.0","0.9","0.0","15.6","191.1","1.2","0.1","41.9"
"Trenton Irwin","CIN","WR127","0.1","1.3","0.0","16.7","185.8","1.1","0.1","41.8"
"Charlie Jones","CIN","WR128","0.7","4.6","0.0","15.8","200.6","1.0","0.5","41.5"
"Pierre Strong Jr.","CLE","RB85","37.2","185.5","1.1","8.5","69.4","0.2","0.2","41.5"
"Cedric Tillman","CLE","WR129","0.4","5.5","0.0","14.4","216.1","0.8","0.1","41.4"
"Rakim Jarrett","TB","WR130","0.2","4.9","0.0","18.2","173.3","0.9","0.1","41.3"
"Rico Dowdle","DAL","RB86","54.0","203.6","1.3","6.8","49.3","0.2","0.2","41.1"
